cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,happy,sclmeet,inmdisc,inprdsc,sclact,crmvct,aesfdrk,brghmwr,brghmef,crvctwr,crvctef,trrenyr,trrcnyr,trrprsn,trrtort,health,hlthhmp,rlgblg,rlgdnm,rlgblge,rlgdnme,rlgdgr,rlgatnd,pray,dscrgrp,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,dscrdk,dscrref,dscrnap,dscrna,ctzcntr,ctzship,ctzshipa,ctzshipb,ctzshipc,brncntr,cntbrth,cntbrtha,cntbrthb,cntbrthc,livecntr,livecnta,lnghoma,lnghom1,lnghomb,lnghom2,blgetmg,facntr,facntn,fbrncnt,fbrncnta,fbrncntb,mocntr,mocntn,mbrncnt,mbrncnta,mbrncntb
AT,ESS1-8e01,1.0,12.12.2018,8769,ESS8e02_1,8,2.1,84,1.24561536312103,1.29556035995483,0.370392886,10,6,,1,3,2,2,,,,,,,,,2,3,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,MIS,1,2,,,,04,2,,,,04
AT,ESS1-8e01,1.0,12.12.2018,8770,ESS8e02_1,8,2.1,86,1.05534851551056,1.47126233577728,0.370392886,10,6,,6,4,2,2,,,,,,,,,2,3,2,66,1,1,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,2,,,,SK,2,,,,CZ
AT,ESS1-8e01,1.0,12.12.2018,8771,ESS8e02_1,8,2.1,89,0.433346807956696,0.863941013813019,0.370392886,9,6,,5,4,2,2,,,,,,,,,2,3,2,66,2,66,2,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,2,,,,IT,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8772,ESS8e02_1,8,2.1,90,0.906825184822083,0.687291026115417,0.370392886,8,6,,3,4,2,2,,,,,,,,,3,2,1,1,6,66,5,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8773,ESS8e02_1,8,2.1,93,1.18997251987457,2.29267597198486,0.370392886,8,5,,3,2,2,2,,,,,,,,,2,2,2,66,2,66,1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,ENG,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8774,ESS8e02_1,8,2.1,94,0.622807681560516,1.38776957988739,0.370392886,0,1,,0,1,2,4,,,,,,,,,5,3,1,1,6,66,6,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8775,ESS8e02_1,8,2.1,97,1.29601097106934,0.947662353515625,0.370392886,6,5,,5,3,2,2,,,,,,,,,2,3,1,1,6,66,3,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8776,ESS8e02_1,8,2.1,101,0.403388291597366,0.313274383544922,0.370392886,10,6,,4,4,2,3,,,,,,,,,1,3,1,1,6,66,2,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8777,ESS8e02_1,8,2.1,102,1.24561536312103,0.96735417842865,0.370392886,8,5,,4,3,2,1,,,,,,,,,1,3,1,1,6,66,4,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8778,ESS8e02_1,8,2.1,104,0.767498016357422,0.626078307628632,0.370392886,9,6,,2,3,2,2,,,,,,,,,2,3,1,1,6,66,7,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8779,ESS8e02_1,8,2.1,106,0.893642008304596,1.41229772567749,0.370392886,6,4,,3,3,2,2,,,,,,,,,4,3,1,1,6,66,5,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8780,ESS8e02_1,8,2.1,110,1.75722432136536,0.993528604507446,0.370392886,8,6,,3,2,2,3,,,,,,,,,2,3,1,1,6,66,3,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,2,,,,SK,,1982,,GER,,CZE,2,2,,,,CZ,2,,,,CZ
AT,ESS1-8e01,1.0,12.12.2018,8781,ESS8e02_1,8,2.1,111,1.55635035037994,2.08837509155273,0.370392886,10,7,,3,5,2,1,,,,,,,,,1,3,1,1,6,66,7,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8782,ESS8e02_1,8,2.1,112,0.825905919075012,1.14507687091827,0.370392886,7,5,,2,2,2,3,,,,,,,,,1,3,1,1,6,66,10,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
